#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
8500,17.000000000001457,-28124.6757701885,13654.848686602634,-14469.827083585866,292.8235373611078,41.93986777763607,1.1990365174516764,124
9000,18.000000000000902,-28328.750524523,13811.008942373133,-14517.741582149865,296.1723403789544,41.93986777763607,1.1990365174516764,123
9500,19.000000000000348,-28212.694357228327,13608.718284355673,-14603.976072872654,291.83428673842616,41.93986777763607,1.1990365174516764,123
10000,19.999999999999794,-28172.379979789795,13621.16175547476,-14551.218224315035,292.1011327001626,41.93986777763607,1.1990365174516764,123
10500,20.99999999999924,-28314.644185043377,13760.295982743348,-14554.348202300029,295.08481838807256,41.93986777763607,1.1990365174516764,123
11000,21.999999999998685,-28062.346015119845,13213.604785338059,-14848.741229781786,283.361213539528,41.93986777763607,1.1990365174516764,123
11500,22.99999999999813,-28269.378626224432,13418.262039007179,-14851.116587217253,287.7500180104849,41.93986777763607,1.1990365174516764,123
12000,23.999999999997577,-28406.61876311076,13638.666103360547,-14767.952659750214,292.47650742490373,41.93986777763607,1.1990365174516764,123
12500,24.999999999997023,-28397.47990072563,13560.574896004626,-14836.905004721004,290.80186832053954,41.93986777763607,1.1990365174516764,123
13000,25.99999999999647,-28386.02623286751,13454.423211846439,-14931.60302102107,288.5254819346152,41.93986777763607,1.1990365174516764,123
13500,26.999999999995914,-28238.36695786714,13288.962698917789,-14949.404258949351,284.9772380982051,41.93986777763607,1.1990365174516764,123
14000,27.99999999999536,-28205.03336897683,13187.849954563097,-15017.183414413734,282.80891004464854,41.93986777763607,1.1990365174516764,123
14500,28.999999999994806,-28176.78232689458,13251.619742500669,-14925.162584393911,284.17643123138777,41.93986777763607,1.1990365174516764,123
15000,29.99999999999425,-28163.40207271024,13235.160962644299,-14928.241110065941,283.8234783537101,41.93986777763607,1.1990365174516764,123
