time_ps,Mx_eA,My_eA,Mz_eA,M_mag_eA
106.0000,5.185755,-11.387172,4.930262,13.448688
107.0000,4.838276,-10.777476,-2.961036,12.179107
108.0000,-7.505737,-16.353993,-1.514111,18.057732
109.0000,-0.419026,-27.525911,-2.027320,27.603648
110.0000,-5.391182,-24.031060,5.495971,25.234151
111.0000,-0.468681,-15.610670,18.697756,24.362240
112.0000,9.077717,-19.370662,9.691034,23.484966
113.0000,10.111929,-21.624722,11.437542,26.470683
114.0000,7.336517,-14.605666,7.279402,17.892447
115.0000,16.002196,-20.144581,-0.957241,25.744723
116.0000,-0.352051,-15.171461,6.617954,16.555799
117.0000,1.154365,-27.610761,13.291671,30.665211
118.0000,5.281503,-29.825158,14.079512,33.401601
119.0000,-5.663415,-32.665127,10.378158,34.738897
120.0000,-7.440872,-26.137535,17.887533,32.534614
121.0000,-4.361855,-19.762342,7.468497,21.572074
122.0000,-6.163554,-23.016688,10.428176,26.009694
123.0000,-2.413084,-19.733210,6.128236,20.803313
124.0000,5.131334,-18.856007,17.142525,25.995110
125.0000,4.229589,-16.895471,14.715217,22.800964
126.0000,4.648051,-7.718574,18.887421,20.926429
127.0000,10.619077,-11.337707,15.117737,21.676125
128.0000,7.750215,-12.077045,14.133153,20.141173
129.0000,-2.635752,-8.401707,9.849696,13.211827
130.0000,-1.227864,-6.374106,8.415605,10.628231
131.0000,-3.885508,-1.139364,10.733957,11.472277
132.0000,-6.922393,-4.019484,10.167571,12.940452
133.0000,-7.414808,1.835848,5.602460,9.472976
134.0000,-0.651396,0.636671,8.966634,9.012779
135.0000,2.718461,-7.688219,1.803129,8.351648
136.0000,5.403716,-4.968271,-7.604122,10.569131
137.0000,9.068554,-6.261491,-1.323567,11.099404
138.0000,9.818101,-10.185816,0.555885,14.158212
139.0000,9.922983,-22.778126,-14.308216,28.671129
140.0000,5.097522,-12.467552,-6.900947,15.134321
141.0000,10.240738,-8.449916,-5.239869,14.273403
142.0000,13.194333,-6.512658,-2.285613,14.890573
143.0000,8.546354,-18.671153,-2.649402,20.704382
144.0000,8.288814,-20.386392,-3.736312,22.321950
145.0000,17.990056,-27.505261,-5.524421,33.327177
146.0000,22.513243,-24.094696,-12.811357,35.376989
147.0000,24.795894,-20.933404,-17.913937,37.066870
148.0000,15.577453,-20.205955,-11.157458,27.846481
149.0000,7.967464,-14.259426,-6.998682,17.770573
150.0000,23.322573,0.517121,-2.708457,23.485007
151.0000,18.401343,-4.307487,-15.910262,24.704257
152.0000,8.422648,-14.032064,-13.040787,20.926106
153.0000,7.392681,-7.936046,-9.726074,14.568084
154.0000,-7.621908,-13.560942,-13.249966,20.434144
155.0000,2.712755,-0.309270,-2.342712,3.597637
156.0000,-1.512369,-4.299364,3.336516,5.648374
157.0000,4.094296,-2.119521,-3.458205,5.763229
158.0000,1.918675,-4.565559,-5.101408,7.109852
159.0000,1.035075,7.241115,-12.274159,14.288460
160.0000,6.763832,6.741085,-1.554673,9.675157
161.0000,2.161884,-3.582153,-6.535859,7.760349
162.0000,0.205014,-0.172344,-4.739147,4.746709
163.0000,0.033982,5.586112,-4.740423,7.326487
164.0000,3.501049,-2.381590,-0.935572,4.336428
165.0000,3.592784,12.754143,-7.592491,15.271614
166.0000,-0.826726,5.671860,-6.681577,8.803235
167.0000,-0.731776,8.271459,-9.636003,12.720263
168.0000,0.163669,9.288020,-12.046661,15.212368
169.0000,-10.631424,3.812163,-10.932542,15.718787
170.0000,-5.877158,12.572806,-12.738385,18.838335
171.0000,-6.476853,13.407000,-11.829481,19.016674
172.0000,-1.601978,11.116674,-9.759714,14.879475
173.0000,-8.455173,9.349663,-11.316801,16.940370
174.0000,-4.487990,12.085505,-13.987559,19.022442
175.0000,-4.758651,17.212081,-3.787449,18.255006
176.0000,-4.128089,11.080111,-5.501405,13.041297
177.0000,-3.587907,18.944700,-1.859888,19.370955
178.0000,-7.317618,12.613228,0.984034,14.615382
179.0000,-17.512844,8.558987,-3.702578,19.840994
180.0000,-0.124978,5.097074,-5.981525,7.859671
181.0000,-8.831855,-11.027382,-4.016000,14.687854
