#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
55000,109.99999999992504,-28200.912374344163,13841.498217854361,-14359.414156489802,296.8261724134866,41.979061764455494,1.1979170302719795,102
55500,110.99999999992271,-28075.106234811035,13531.746289612569,-14543.359945198466,290.18364876390723,41.77015070757297,1.2039083448497918,102
56000,111.99999999992038,-27984.265450993156,13390.209069309796,-14594.05638168336,287.14843171620896,41.5761590814245,1.209525702073525,102
56500,112.99999999991805,-28224.08411098416,13705.58900500178,-14518.49510598238,293.91164605139636,41.2086165599507,1.220313546059521,102
57000,113.99999999991572,-28123.074637589045,13648.522924942896,-14474.55171264615,292.68788357627136,42.10997683170451,1.1941928442149898,102
57500,114.99999999991338,-28089.179630162267,13720.0697703917,-14369.109859770568,294.22218108861966,42.030570135017875,1.1964489856059182,102
58000,115.99999999991105,-28103.5786418704,13730.091817675877,-14373.486824194524,294.4371004483803,41.924400909720724,1.1994788693765384,102
58500,116.99999999990872,-28224.01345318311,13882.011742925335,-14342.001710257775,297.69497103546547,41.86506833481491,1.2011788109434807,102
59000,117.9999999999064,-27742.78853024061,13385.175848972267,-14357.612681268343,287.0404960358232,42.20421949095506,1.1915261935659731,102
59500,118.99999999990406,-27810.778042679827,13511.18996659989,-14299.588076079937,289.7428254814335,42.067799467398196,1.1953901473133248,102
60000,119.99999999990173,-27871.405632192138,13519.43932931078,-14351.966302881357,289.9197302297335,42.18548041940022,1.1920554774422905,102
60500,120.9999999998994,-28153.60585283937,13717.407725956098,-14436.198126883271,294.16509446055545,41.56072575942867,1.2099748520650433,102
61000,121.99999999989707,-28370.751231381964,13716.772731101779,-14653.978500280185,294.15147721413143,41.54627703342799,1.2103956501811088,102
61500,122.99999999989474,-28225.757334918617,13465.95443489491,-14759.802900023707,288.77276504998696,41.714238082851246,1.2055220306937295,102
