#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
23000,46.00000000001025,-53608.977975948066,13163.212996424612,-40445.764979523454,287.5094210494882,43.64426455054239,1.2072713189658564,98.1
23500,47.000000000011475,-53416.52405737671,13071.497595282191,-40345.026462094516,285.506183550335,43.8619478499816,1.20127972905905,98.2
24000,48.0000000000127,-53776.1909518927,13350.89178453817,-40425.29916735453,291.6086800775428,43.60347958631585,1.2084005526422257,98.1
24500,49.00000000001392,-53820.05063018469,13277.998995624512,-40542.05163456018,290.0165639623556,43.783402720847825,1.2034347619158225,98.2
25000,50.00000000001514,-53604.26994137907,13321.467196520633,-40282.80274485843,290.9659915281863,43.85613763744969,1.201438878745094,98.2
25500,51.000000000016364,-53593.90351969055,13278.883011991766,-40315.02050769879,290.035872548642,43.808874902819205,1.2027350381882855,98.2
26000,52.000000000017586,-53315.7714659555,13184.58661564941,-40131.18485030609,287.97626124197944,43.700885722601235,1.2057071145809204,98.2
26500,53.00000000001881,-53439.25427889726,13244.793453329174,-40194.46082556808,289.2912922339744,43.489542256630344,1.21156641562938,98.2
27000,54.00000000002003,-53706.57191755491,13311.987334057005,-40394.584583497905,290.75893343611665,43.99288163300893,1.1977044211100993,98.2
27500,55.00000000002125,-53499.017029293,13185.427284679674,-40313.589744613324,287.99462304059585,43.53317086746387,1.2103521930355927,98.2
28000,56.000000000022474,-53503.17704635504,13030.750702501366,-40472.42634385367,284.6161944909645,43.77236391132697,1.2037382521987434,98.2
28500,57.0000000000237,-53437.36487965209,13052.015823709271,-40385.34905594282,285.0806648819468,43.7815987175767,1.20348434896405,98.2
29000,58.00000000002492,-53803.665618303974,13427.761119897761,-40375.90449840621,293.287651473941,43.36074667544405,1.2151651636356071,98.2
29500,59.00000000002614,-53824.84164350224,13432.029347055422,-40392.81229644681,293.3808776125244,43.45680175825973,1.2124792137795397,98.2
30000,60.00000000002736,-53553.3238219725,13234.794696397123,-40318.529125575384,289.07290050715744,43.559234843984186,1.2096279702329293,98.1
30500,61.000000000028585,-53592.72818745035,13266.881709952577,-40325.84647749778,289.773741456327,43.30887247967167,1.2166206555933763,98.1
31000,62.00000000002981,-53462.144340373794,13110.657227180003,-40351.48711319379,286.3615038356262,44.11917124174404,1.1942760334394988,98.1
