#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
7500,15.000000000001679,-29656.419372188993,12651.042028886428,-17005.377343302564,271.29724856176836,41.12177780142239,1.2228905385686195,102
8000,16.00000000000201,-29598.408638341414,12720.688930829085,-16877.71970751233,272.7908024385755,41.018652549521995,1.225965015349256,102
8500,17.000000000001457,-29335.870829922365,12581.31544443519,-16754.555385487176,269.8019859209488,41.355915540813456,1.2159671076040552,102
9000,18.000000000000902,-29227.854682676774,12500.023726520201,-16727.830956156573,268.0587129675559,41.1028332819165,1.223454175471764,102
9500,19.000000000000348,-29164.52634820051,12726.699039323128,-16437.827308877382,272.9196871497533,41.62709423599905,1.2080457193909067,102
10000,19.999999999999794,-29070.31341597869,12890.78801185083,-16179.52540412786,276.4385187736185,41.54842447890107,1.2103330904404634,101
10500,20.99999999999924,-29162.938711977462,12988.210473507424,-16174.728238470037,278.52770998294335,41.14625759333559,1.2221629850153257,101
11000,21.999999999998685,-29039.56552196824,13016.047201084293,-16023.518320883948,279.1246590392602,41.479493783968444,1.21234442407579,101
11500,22.99999999999813,-28769.91089908657,12923.966951892697,-15845.943947193875,277.1500297403042,41.545688605658896,1.2104127934861317,101
12000,23.999999999997577,-28633.848705811375,13245.809844062536,-15388.038861748839,284.0518399560533,41.6196315086717,1.2082623314913983,101
12500,24.999999999997023,-28392.117536348676,13204.488440478428,-15187.629095870248,283.16571665700155,41.846247252076296,1.201719062155219,101
13000,25.99999999999647,-28511.552210549307,13467.512904344429,-15044.039306204879,288.80618589173713,41.641625741002294,1.2076241526988505,101
13500,26.999999999995914,-28267.55392995976,13333.988495745141,-14933.565434214617,285.94280083727983,41.81040389978482,1.2027492755873457,101
14000,27.99999999999536,-28449.109726404786,13466.841750026833,-14982.267976377952,288.79179321805,42.1077567145002,1.1942558076280418,101
14500,28.999999999994806,-28483.101118296818,13684.546634143968,-14798.55448415285,293.46039963992246,41.69564661954072,1.2060595548820021,101
15000,29.99999999999425,-28435.530625480045,13592.814540406856,-14842.716085073189,291.4932364150383,42.07758153880381,1.1951122465559392,101
15500,30.999999999993697,-28590.826882143745,13454.857414815775,-15135.96946732797,288.5347932680713,41.71684857538225,1.2054465933976595,101
16000,31.999999999993143,-28807.322617742382,13653.572060110298,-15153.750557632084,292.7961605447143,41.359788440909,1.2158532453406166,101
16500,32.999999999994365,-28533.942145921323,13466.263253967842,-15067.678891953481,288.779387568875,41.693132278457135,1.2061322873662836,101
17000,33.99999999999559,-28342.590768181173,13369.475496204177,-14973.115271976996,286.7038073664072,42.083065344290524,1.194956512579783,101
17500,34.99999999999681,-28316.35096309679,13395.30174390251,-14921.04921919428,287.2576423726647,42.06347158752773,1.1955131401325252,101
18000,35.99999999999803,-28626.329179974262,13665.406444346889,-14960.922735627373,293.0499448475788,41.83551636661289,1.2020273052638295,101
18500,36.999999999999254,-28273.130915236972,13547.568280067706,-14725.562635169266,290.52294591171915,42.08370754347355,1.1949382774921227,101
19000,38.000000000000476,-28108.69754216085,13607.564387531867,-14501.133154628984,291.8095418175961,41.80216513436247,1.2029863247715595,101
19500,39.0000000000017,-28370.58514145883,13934.055391138936,-14436.529750319893,298.81102918571327,41.49060898761103,1.2120196408179067,101
20000,40.00000000000292,-28247.954070945005,13971.791343852912,-14276.162727092093,299.6202637230568,41.87144209115546,1.2009959650542534,101
