#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
2950	0.02	-0.010405672706891543	-1370.5743775289786
3000	0.02	-0.010994994800915973	-1448.1964385848366
3050	0.02	-0.007744517124465637	-1020.0625212916028
3100	0.02	-0.003558371072799403	-468.687835519676
3150	0.02	0.0005867631766102914	77.28501541346418
3200	0.02	0.002578269416895644	339.59457506513917
3250	0.02	0.007332723093952806	965.82341893482
3300	0.02	0.006515299382006489	858.1571462452837
3350	0.02	0.005301753027912444	698.3159148596901
3400	0.02	0.005380101356957562	708.6354987382346
3450	0.02	0.004163240334213106	548.3576785755172
3500	0.02	0.011415380128300658	1503.5671363409733
3550	0.02	0.012985710369968784	1710.4018556440144
3600	0.02	0.015750682393098906	2074.587806541432
3650	0.02	0.021440787711563807	2824.055214810422
3700	0.02	0.02165120613086518	2851.7702988975475
3750	0.02	0.024765846768396212	3262.0125555258337
3800	0.02	0.02565856801241976	3379.5965789522234
3850	0.02	0.02402595473188445	3164.558301875406
3900	0.02	0.028799893904007796	3793.353661243261
3950	0.02	0.02511868928216344	3308.4869087266616
4000	0.02	0.02542793888786132	3349.219458920147
4050	0.02	0.023465011996889294	3090.674204085532
4100	0.02	0.02190101959188782	2884.6742675773144
4150	0.02	0.023150546615966543	3049.254662470777
4200	0.02	0.022786503672197225	3001.305054107638
4250	0.02	0.02256238861098924	2971.7859284189576
4300	0.02	0.02206500746430513	2906.2737914612253
4350	0.02	0.01509192760158865	1987.820476475358
4400	0.02	0.015900448541427442	2094.3141280683776
4450	0.02	0.014917059787497753	1964.7879102781958
4500	0.02	0.014470399156345596	1905.9563831148796
4550	0.02	0.015185341732003562	2000.1244396358593
4600	0.02	0.01592649580211817	2097.744920974624
4650	0.02	0.019126602472710072	2519.2442638444077
4700	0.02	0.020383435248163717	2684.78692959965
4750	0.02	0.01971947471032687	2597.3339290601607
4800	0.02	0.01692273757390516	2228.9640631383995
4850	0.02	0.012768635338618581	1681.810001532281
4900	0.02	0.012370564980563648	1629.3785010832482
4950	0.02	0.008616839100961289	1134.9596724530609
5000	0.02	0.005608734058934958	738.7496616589947
5050	0.02	0.006940229437429911	914.1264490102645
5100	0.02	0.007872872408621652	1036.9687289573671
5150	0.02	0.00587313628479103	773.5751771568981
5200	0.02	0.00894608287356544	1178.3257374258105
5250	0.02	0.005502918403883445	724.8122421725064
5300	0.02	0.010138155590143465	1335.3385868123905
5350	0.02	0.0065152287202697445	858.1478390944072
5400	0.02	0.0097015655133339	1277.833494194755
5450	0.02	0.010469934599736238	1379.0385783803201
5500	0.02	0.012790618055257472	1684.70543645729
5550	0.02	0.015378926490946822	2025.622292389967
5600	0.02	0.019374937717111268	2551.9535304724322
