#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
21000,42.000000000005365,-53608.95819010117,13401.224756340187,-40207.73343376098,292.7080471991132,42.970373304417926,1.2262045864938016,96.3
21500,43.00000000000659,-53535.421489706765,13331.487035027054,-40203.93445467971,291.1848437163848,43.223367051880956,1.2190274016826077,96.3
22000,44.00000000000781,-53653.09517050242,13359.522612633065,-40293.57255786935,291.7971936562119,43.14391875259797,1.2212722059712122,96.2
22500,45.00000000000903,-53546.98629377056,13294.209121191207,-40252.77717257936,290.37062370583055,43.18553782026861,1.220095233004102,96.2
23000,46.00000000001025,-53444.49978479945,13356.34594315147,-40088.15384164798,291.7278091978911,43.24591656338595,1.2183917700529983,96.2
23500,47.000000000011475,-53619.67194101488,13581.801063293515,-40037.87087772136,296.65217463072946,43.07442730970391,1.2232424693748127,96.2
24000,48.0000000000127,-53272.87672707228,13252.599915378745,-40020.27681169353,289.4618001019947,43.56821833071599,1.209378552716277,96.1
24500,49.00000000001392,-53225.981246363874,13236.722452848964,-39989.258793514906,289.11500634723944,43.378787192146305,1.2146597966382897,96.1
25000,50.00000000001514,-53382.21544951751,13242.696958717084,-40139.51849080043,289.24550083393257,43.43976908452641,1.212954625212242,96.2
25500,51.000000000016364,-53509.83132876598,13400.244736915847,-40109.58659185013,292.6866417248277,43.087157315732924,1.2228810650729234,96.1
26000,52.000000000017586,-53284.4143529837,13362.710761145594,-39921.70359183811,291.86682883823823,43.41607694377448,1.2136165342037768,96.1
26500,53.00000000001881,-53371.20705802129,13525.440115093596,-39845.766942927694,295.421145125155,43.73342199753823,1.2048101068376045,96.1
27000,54.00000000002003,-53390.921338987246,13673.925600633627,-39716.99573835362,298.6643484367981,43.53815867947852,1.2102135328489088,96.1
27500,55.00000000002125,-52971.27542486396,13154.115978809243,-39817.15944605472,287.3107250116301,43.4161386765619,1.2136148085797622,96.1
28000,56.000000000022474,-53494.601526126855,13479.902914697324,-40014.69861142953,294.4265267044319,43.3373360168537,1.2158215910811174,96.1
28500,57.0000000000237,-53278.17510355256,13152.581865889859,-40125.5932376627,287.277217089408,43.001778451850825,1.2253090622339189,96.1
29000,58.00000000002492,-53273.89770763605,13185.66528559391,-40088.23242204214,287.9998214298554,43.36803456840435,1.2149609580789156,96
29500,59.00000000002614,-53605.32760736758,13386.06756456235,-40219.26004280523,292.37698551729085,43.61575909651408,1.208060341507143,96
30000,60.00000000002736,-53508.73211825544,13238.079059480096,-40270.65305877534,289.1446371970339,43.44536503615389,1.2127983913906744,96
30500,61.000000000028585,-53776.5635734065,13439.896076706704,-40336.667496699796,293.5527018387378,43.1128369442633,1.2221526710790764,96
