SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
Oc1cccc2ccccc12,372,1.0989,1.1493,0.0005,0.9188
COC(=O)C(C)C(=O)OC,293,1.0977,1.1295,0.00069,0.9392
CCOC(=O)CS,288,1.0964,1.1135,0.00083,0.925
O=C(CO)c1ccccc1,372,1.0963,1.1639,0.00056,0.9476
C=C(Cl)C#N,298,1.096,1.0739,0.00047,0.8965
CCOC(=O)COc1ccccc1,303,1.0958,1.1251,0.00036,0.9534
ClCCCCCCl,298,1.0956,1.1047,0.0006,0.9931
N#CCCCCl,288,1.0934,1.1256,0.00084,0.9755
CCc1ccc(O)c(OC)c1,291,1.0931,1.1007,0.00047,0.9639
CC(C)(Cl)CCl,293,1.093,1.1399,0.001,0.9439
c1ccc2occc2c1,298,1.0913,1.134,0.00056,0.9427
CCOC(=O)CF,293,1.0912,1.1267,0.00088,0.9538
CC(C)OCC(O)CCl,293,1.091,1.0675,0.00056,0.9704
C/C=C/C(=O)Cl,293,1.0905,1.1947,0.00068,0.8991
CCCOC(=O)Cl,293,1.0901,1.2092,0.00054,0.892
C=CC(=O)OCCOc1ccccc1,298,1.09,1.1445,0.00066,0.9698
OC1CCOC1,298,1.09,1.1826,0.00061,0.9582
CN1C2CC3CC1[C@H](O)C2O3,407,1.0891,1.1751,0.0005,0.9004
CC(C)OC(=O)CCl,293,1.0888,1.1228,0.00054,0.9516
CC(=O)OCCc1ccccc1,293,1.0883,1.0766,0.00058,0.9741
OCCCCCl,293,1.0883,1.1069,0.00056,0.9928
OCCN1CC1,298,1.088,0.9852,0.00042,0.8937
C=C1CC(=O)O1,293,1.0877,1.0895,0.00054,0.8966
COC(=O)CCCC(=O)OC,293,1.0876,1.1141,0.00077,0.9835
CCCC(Cl)CCl,293,1.0872,1.0759,0.00046,0.9636
C=C(C)C(=O)Cl,293,1.0871,1.2162,0.0006,0.901
CCCC(Cl)Cl,293,1.0863,1.0945,0.00084,0.963
O=COC/C=C/c1ccccc1,298,1.086,1.1184,0.00097,0.9443
[N-]=[N+]=Nc1ccccc1,293,1.086,1.1266,0.00073,0.8912
CCCCC(Cl)CCl,288,1.085,1.0591,0.00048,0.9634
COC(=O)CCS,298,1.085,1.1214,0.00072,0.9251
C=CCSSSCC=C,288,1.0845,1.1408,0.00063,0.8745
COC(=O)c1ccccc1,298,1.0837,1.1294,0.00073,0.9891
CCOC(=O)CO,296,1.0826,1.1344,0.00075,0.9569
Cc1ccccc1Cl,293,1.0825,1.1005,0.00044,0.9974
CC(=O)OC(C)=O,293,1.082,1.1096,0.00062,0.977
C=CCOP(=O)(OCC=C)OCC=C,293,1.0815,1.1198,0.00037,0.9673
O=COCc1ccccc1,293,1.081,1.1289,0.00072,0.9675
CC(=O)CO,293,1.0805,1.1286,0.00062,0.9519
CC(S)CS,293,1.08,1.0666,0.00059,0.9233
CCOC(=O)C(C)Cl,293,1.0793,1.1024,0.00057,0.9433
C=C(C)C(=O)OCCO,293,1.079,1.11,0.0008,0.992
CCC(Cl)C(C)Cl,293,1.0789,1.0824,0.00065,0.9605
CCOC(=O)C(=O)OCC,293,1.0785,1.1091,0.00061,0.989
CC(=O)Oc1ccccc1,293,1.078,1.1177,0.00072,0.9786
c1cnoc1,293,1.078,1.0816,0.00037,0.9389
O=Cc1ccc2ccccc2c1,372,1.0775,1.1268,0.00073,0.9351
SCCCS,293,1.0772,1.069,0.0006,0.9224
CCOP(=O)(C#N)N(C)C,298,1.077,1.0858,0.0008,0.9131
COC(=O)CCSC,298,1.077,1.0873,0.00068,0.9558
C=CCOC(=O)/C=C/C(=O)OCC=C,293,1.0768,1.1255,0.00058,0.9373
CCOP(=S)(OCC)OCC,293,1.0768,1.0924,0.00072,0.9055
COC(=O)CC(C)=O,293,1.0762,1.0942,0.00062,0.9654
O=C1CCCCCO1,293,1.0761,1.1073,0.00088,0.9167
C=CC(OC(C)=O)OC(C)=O,293,1.076,1.1161,0.00025,0.9159
COC(=O)CC(C)C(=O)OC,298,1.076,1.0923,0.00048,0.9447
CC(=O)COC(C)=O,293,1.0757,1.1025,0.00056,0.9547
CCOC(=O)CCCCl,293,1.0756,1.0974,0.0006,0.9922
C=CCOC(=O)/C=C\C(=O)OCC=C,293,1.075,1.1355,0.00077,0.9373
COC(=O)C(C)Cl,298,1.075,1.1576,0.00045,0.944
Cc1cccc(Cl)c1,293,1.075,1.0946,0.00072,0.9912
O=NOCc1ccccc1,298,1.075,1.136,0.00071,0.86
CCCCOC(=O)Cl,298,1.074,1.1516,0.00065,0.892
CC(O)c1ccco1,298,1.0739,1.1203,0.00065,0.9387
COC1C=CC(OC)O1,298,1.073,1.0787,0.00079,0.9187
CCCCOC(=O)c1ccccc1O,293,1.0728,1.1152,0.00093,0.9736
COc1ccc(N)cc1,330,1.071,1.1086,0.00075,0.962
CCCCOC(=O)CCl,293,1.0704,1.0974,0.00085,0.9519
CC(=O)OCCCOC(C)=O,287,1.07,1.1113,0.00044,0.9805
CC(Cl)C(C)(C)Cl,288,1.0696,1.1271,0.00069,0.9431
CCOP(=O)(OCC)OCC,293,1.0695,1.0914,0.00066,0.9837
ClCCc1ccccc1,298,1.069,1.0887,0.0004,0.9784
Cc1ccc(Cl)cc1C,288,1.0682,1.0941,0.0007,0.989
CCOC(=O)c1cccc(O)c1,404,1.068,1.1217,0.00038,0.9656
COC(CCl)OC,293,1.068,1.1008,0.00057,0.9451
CSC#N,298,1.0678,1.0048,0.0007,0.8899
ClCCCCCCCl,298,1.0676,1.0767,0.0006,0.993
CC(=O)N(C)C(C)=O,298,1.0663,1.0913,0.00048,0.9486
CCSCCCl,298,1.0663,1.0829,0.00069,0.9499
CCOC(=O)/C=C\C(=O)OCC,293,1.0662,1.123,0.00095,0.9376
C/C=C/[N+](=O)[O-],293,1.0661,1.0116,0.00051,0.92
C=C(C)C(=O)OCC(C)O,298,1.066,1.0541,0.0008,0.9851
CCCOC(=O)CCCl,293,1.0656,1.0829,0.00066,0.9876
CC(C)OC(=O)c1ccco1,297,1.0655,1.1106,0.00082,0.9184
CCOC(=O)CC#N,293,1.0654,1.1031,0.00046,0.9537
CC(C)=CC(=O)Cl,298,1.065,1.1563,0.00048,0.897
c1ccsc1,293,1.0649,1.0939,0.00051,0.9401
CCC(=O)Cl,293,1.0646,1.2252,0.00062,0.8899
COc1ccco1,298,1.0646,1.1744,0.00043,0.9142
CC(=O)S,293,1.064,1.1586,0.00047,0.9217
Cc1cccc(CCl)c1,293,1.064,1.0941,0.00041,0.9502
OCCOCc1ccccc1,293,1.064,1.098,0.00051,0.9609
COC(=O)OC,298,1.0636,1.0783,0.00063,0.9988
CCCOC(=O)c1ccc(O)cc1,375,1.063,1.1117,0.00097,0.9798
COCCl,283,1.063,1.0593,0.00071,0.9491
CSCCO,293,1.063,1.0638,0.00041,0.9527
Cc1ccccc1CCl,298,1.063,1.1038,0.00047,0.9513
COC(=O)CCCCCC(=O)OC,293,1.0625,1.0661,0.00045,0.9918
CSSC,293,1.0625,1.0628,0.00069,0.9402
CC(=O)OCC1CCCO1,293,1.0624,1.0996,0.00066,0.9584
COC(=O)Cc1ccccc1,289,1.0622,1.1025,0.00049,0.9595
C=CC(=O)OCCC#N,293,1.062,1.1294,0.00053,0.9672
C#COc1ccccc1,293,1.0614,1.059,0.00037,0.9037
C=CC(=O)OCC1CCCO1,293,1.061,1.1066,0.00057,0.9584
CC1Cc2ccccc2O1,298,1.061,1.1,0.00051,0.9281
O=[N+]([O-])C1CCCCC1,293,1.061,1.1082,0.00048,0.9159
C1COCO1,293,1.06,1.0826,0.00065,0.9539
COC(=O)CCCCC(=O)OC,293,1.06,1.0917,0.00093,0.9908
CC(=O)OCC(C)OC(C)=O,293,1.059,1.1112,0.00066,0.9632
O=C1CCCCCC1=O,295,1.0583,1.1663,0.00046,0.9119
CC1COC(=O)C1,293,1.058,1.0734,0.00046,0.9521
SCc1ccccc1,293,1.058,1.0756,0.00044,0.9272
c1ccc2c(c1)CCO2,298,1.058,1.1569,0.00042,0.9323
CSc1ccccc1,293,1.0579,1.0723,0.00056,0.9529
C=CC(=O)OCc1ccccc1,293,1.0573,1.1054,0.00057,0.9635
NCCOCCO,293,1.0572,1.056,0.00094,0.991
CC1CCOC1=O,293,1.057,1.0908,0.00069,0.9561
CCN(CC)[N+](=O)[O-],288,1.057,1.0126,0.00077,0.9327
C=CCOC(=O)c1ccccc1,288,1.0569,1.1015,0.00026,0.9738
CCc1ccccc1Cl,293,1.0569,1.0733,0.00083,0.9653
ClCCCc1ccccc1,294,1.056,1.075,0.00058,0.9856
C=C(C)[N+](=O)[O-],298,1.0559,1.032,0.00081,0.9331
CC1CC(=O)O1,293,1.0555,1.0285,0.00074,0.8964
CC(=O)C(C)Cl,298,1.0554,1.1101,0.00099,0.9497
CC1CCC(=O)O1,293,1.0551,1.0797,0.00053,0.9723
CCOC(=O)CC(=O)OCC,293,1.0551,1.0793,0.00057,0.9586
CC(=O)OCc1ccccc1,293,1.055,1.1038,0.00025,0.9661
CC(C)OP(=O)(F)OC(C)C,298,1.055,1.0945,0.0006,0.8702
Oc1ccccc1,318,1.0545,1.0953,0.00064,0.9942
Cc1cc2ccccc2o1,293,1.054,1.0931,0.00069,0.9403
CCCO[N+](=O)[O-],293,1.0538,1.0692,0.00075,0.9633
OCCCO,293,1.0538,1.0903,0.00066,0.9842
CC(C)(Cl)C=O,288,1.053,1.1157,0.00088,0.9394
CCSC(SCC)SCC,293,1.053,1.0717,0.00056,0.852
CCc1cccc(Cl)c1,293,1.0529,1.0736,0.00065,0.9826
Cc1ccc(N=[N+]=[N-])cc1,296,1.0527,1.0956,0.00068,0.8912
OCC1CCCO1,293,1.0524,1.0746,0.00084,0.9585
CC(=O)CCCCl,293,1.0523,1.0715,0.00077,0.9927
COc1cccc(OC)c1,298,1.0521,1.1,0.00062,0.9851
COP(OC)OC,293,1.0518,1.1751,0.00059,0.8697
Cc1ccc(CCl)cc1,293,1.0512,1.0912,0.00042,0.9494
COC(=O)CCC(C)=O,293,1.0511,1.078,0.00062,0.9874
COCC(=O)OC,293,1.0511,1.0611,0.00057,0.962
N#CCCOCCC#N,293,1.0504,1.08,0.0006,0.9718
O=C/C=C/c1ccccc1,293,1.0497,1.101,0.00048,0.9101
CCOC(=O)/C=C\CC(=O)OCC,293,1.0496,1.0894,0.00064,0.9243
C=COCCCl,293,1.0495,1.0579,0.00044,0.979
c1ccc(C2CO2)cc1,298,1.049,1.1147,0.00053,0.8823
CN(C)c1ccc(Cl)cc1,373,1.048,1.08,0.00112,0.9598
CN(c1ccccc1)c1ccccc1,293,1.0476,1.0976,0.00077,0.9344
CCc1ccc(Cl)cc1,293,1.0455,1.0708,0.00053,0.9829
COC(=O)CCc1ccccc1,298,1.0455,1.0753,0.00048,0.9788
CC[N+](=O)[O-],298,1.0448,1.0049,0.00055,0.9328
CCC(=O)OCC1CCCO1,293,1.044,1.0689,0.00066,0.9584
Cc1cccc(S)c1,293,1.044,1.0704,0.00037,0.9394
CN(CCO)CCO,298,1.043,1.0207,0.00047,0.9787
CC(C)COC(=O)Cl,291,1.0426,1.1511,0.00068,0.892
C=C(C)C(=O)OCC1CO1,293,1.042,1.1226,0.00069,0.8847
OCc1ccccc1,297,1.0419,1.0943,0.0007,0.9587
CCOC(=O)c1ccccc1,298,1.0415,1.0852,0.00065,0.9886
ClCCCCCCCCl,298,1.0408,1.0557,0.00049,0.993
CCOP(C)(=O)OCC,303,1.0406,1.0846,0.00085,0.9882
CC=C(C(=O)OCC)C(=O)OCC,293,1.0404,1.0709,0.00058,0.8842
N#CCCO,298,1.0404,1.0894,0.00066,0.9741
CCOC(=O)CCC(=O)OCC,293,1.0402,1.0644,0.00048,0.99
O=Cc1ccccc1,298,1.0401,1.0649,0.00053,0.9775
C=C(C)C(=O)OCC1CCCO1,298,1.04,1.0733,0.00058,0.9584
C/C=C/C(=O)OC(=O)/C=C/C,293,1.0397,1.0822,0.00054,0.9469
ClC1C=CCC1,298,1.0388,1.0546,0.00063,0.912
CCCC(=O)Oc1ccccc1,288,1.0382,1.0608,0.00082,0.9779
CCCCOC(=O)CCCl,293,1.037,1.0554,0.00084,0.9876
CCOC(=O)CC(C)=O,283,1.0368,1.0555,0.00061,0.9652
C=CCOC(=O)CC(C)=O,293,1.0366,1.0642,0.00071,0.9663
CC(=O)CCc1ccco1,292,1.0361,1.0742,0.00046,0.9586
ClC1=CCCCC1,292,1.0361,1.0282,0.00061,0.8888
COCCOCCO,293,1.035,1.0299,0.00085,0.991
COCCCl,293,1.0345,1.0344,0.00057,0.9842
CC(C)c1ccccc1Cl,293,1.0341,1.0513,0.0007,0.9564
CC(C)O[N+](=O)[O-],292,1.034,1.0679,0.00057,0.9653
CCC(=O)OCc1ccccc1,293,1.0335,1.0757,0.00089,0.9662
CCOC(=O)Cc1ccccc1,293,1.0333,1.065,0.00038,0.9586
Cc1ccccc1C=O,293,1.0328,1.0732,0.00073,0.9797
Cc1ccccc1O,308,1.0327,1.0729,0.00051,0.9826
CC(C)COC(=O)CCCl,293,1.0323,1.0504,0.00066,0.9788
Cc1cccc(C#N)c1,293,1.0316,1.017,0.00064,0.9493
CC(C)OC(=O)C(C)Cl,293,1.0315,1.06,0.00098,0.9425
c1cnccn1,334,1.0311,1.0784,0.00044,0.9669
c1c[nH]cn1,374,1.0303,1.1023,0.00078,0.9662
C#CCCl,298,1.03,0.9778,0.00055,0.9082
CN(C)P(=O)(N(C)C)N(C)C,293,1.03,1.061,0.00066,0.9522
c1ccc(CNc2ccccc2)cc1,338,1.0298,1.0749,0.00076,0.9425
C=CC(=O)OCC1CC2C=CC1C2,298,1.029,1.0805,0.00068,0.9348
CC(=O)CF,293,1.0288,1.0905,0.00088,0.9551
C1COCOC1,298,1.0286,1.0741,0.00095,0.9558
NCCNCCO,293,1.0286,1.0284,0.00056,0.9876
CCCCC(=O)OCc1ccco1,293,1.0284,1.0643,0.00044,0.9473
CCc1cccc(O)c1,293,1.0283,1.0462,0.00078,0.976
CC(=O)c1ccccc1,293,1.0281,1.0638,0.00045,0.9946
CCCS(=O)(=O)CCC,323,1.0278,1.0541,0.00049,0.9532
COc1ccc(-c2ccccc2)cc1,373,1.0278,1.091,0.00051,0.9495
CCCC(=O)Cl,293,1.0277,1.1439,0.00072,0.8895
C=CC(=O)OC1CCCCC1,293,1.0275,1.0212,0.001,0.9448
CSCc1ccccc1,293,1.0274,1.0467,0.00059,0.951
CCC(=O)CO,293,1.0272,1.0904,0.00055,0.9512
OCC1CCCCO1,298,1.027,1.0514,0.00079,0.9466
CCCCOC(=O)C(F)(F)F,295,1.0268,1.1358,0.0008,0.9708
Cc1cccc(C(=O)Cl)c1,294,1.0265,1.287,0.00051,0.8925
CCC1CCC(=O)O1,293,1.0261,1.051,0.00076,0.9716
CCOP(=O)(CC)OCC,293,1.0259,1.066,0.00071,0.9417
CN(C)c1ccc(C=O)cc1,373,1.0254,1.0341,0.00035,0.9598
CCCCOC(=O)C(C)Cl,293,1.0253,1.0499,0.00047,0.9433
CCCOC(=O)C(Cl)CC,293,1.0252,1.0476,0.00044,0.9381
ClCCCCCCCCCl,298,1.0248,1.0376,0.00058,0.993
C=CCc1ccccc1O,288,1.0246,1.0683,0.0005,0.9421
CCCOC(=O)/C=C\C(=O)OCCC,293,1.0245,1.0788,0.00054,0.9376
OCCCCCCCl,293,1.0241,1.0449,0.00094,0.993
C=CCSSCC=C,288,1.0237,1.038,0.0007,0.9415
CC(=O)CCO,293,1.0233,1.0361,0.00055,0.9902
COc1ccccc1-c1ccccc1,372,1.0233,1.0785,0.00089,0.9142
CCCOC(=O)c1ccccc1,293,1.023,1.067,0.00038,0.9886
CN1CCCC1=O,298,1.023,1.0386,0.00052,0.9708
COC(OC)(OC)OC,298,1.023,1.0153,0.00036,0.9297
Cc1ccno1,293,1.023,1.0446,0.00074,0.9378
CCCCO[N+](=O)[O-],303,1.0228,1.0247,0.00063,0.9634
FCc1ccccc1,298,1.0228,1.0653,0.00045,0.936
CCOC(=O)C(C)C(=O)OCC,293,1.0225,1.0472,0.00094,0.9364
Fc1ccccc1,293,1.0225,1.0627,0.00061,0.9979
C=Cc1ccc(F)cc1,293,1.022,1.0863,0.00037,0.949
CCOC(=O)CCCC(=O)OCC,293,1.022,1.0478,0.0006,0.9835
Cc1ccc(S)cc1,324,1.022,1.0455,0.00084,0.9374
Cc1ccsc1,293,1.0218,1.0399,0.00047,0.9249
COC(=O)C(C)C(C)=O,298,1.0217,1.059,0.00069,0.9454
COC(=O)CCCCCCC(=O)OC,293,1.0217,1.0499,0.00055,0.9919
CCSc1ccccc1,293,1.0211,1.0422,0.00067,0.9455
CCOCCOCCOCCO,293,1.0209,1.0304,0.0007,0.991
CC(C)c1ccc(Cl)cc1,293,1.0208,1.0464,0.00053,0.9664
N#CCc1ccccc1,288,1.0205,1.0611,0.00056,0.9518
Cc1cccc2ccccc12,293,1.0202,1.0655,0.00045,0.9256
OCCc1ccccc1,293,1.0202,1.0604,0.00054,0.978
C1CSC1,293,1.02,0.9798,0.00079,0.8701
CCC(=O)OCCc1ccccc1,298,1.02,1.0489,0.00049,0.9741
CCC(O)OCC(C)OC(O)CC,293,1.02,1.0632,0.00078,0.956
COC1CCC(OC)O1,298,1.02,1.0467,0.00054,0.9502
Cc1cccs1,293,1.0193,1.0349,0.00051,0.9191
O=CCCc1ccccc1,293,1.019,1.0346,0.00073,0.9658
OOC1CCCCC1,293,1.019,1.038,0.00078,0.8964
Cc1cccc(C=O)c1,294,1.0189,1.0433,0.0007,0.9767
CCCOC(=O)C(=O)OCCC,293,1.0188,1.0573,0.00058,0.9886
CCOCCl,288,1.0188,1.0096,0.00087,0.9518
CCOC(CCl)OCC,293,1.018,1.0202,0.00071,0.9447
CC(C)CCOC(=O)CCCl,293,1.0171,1.0321,0.00062,0.986
CCOC(=O)CC(C)O,293,1.017,1.0299,0.00069,0.979
CCSCCO,293,1.0166,1.0252,0.00047,0.9484
CC(C)OC(=O)c1ccccc1,288,1.0163,1.0618,0.0005,0.9757
COCc1ccco1,293,1.0163,1.0509,0.00061,0.9519
CC(C)C(=O)OCc1ccccc1,291,1.0159,1.046,0.0007,0.9558
O=CN1CCCCC1,298,1.0158,1.0465,0.00093,0.965
CC(=O)Cc1ccccc1,293,1.0157,1.0299,0.00045,0.9595
CCCCC(=O)Cl,288,1.0155,1.1078,0.00072,0.8895
CC(C)CO[N+](=O)[O-],293,1.0152,1.027,0.00095,0.963
CC(CO)CO,293,1.015,1.0308,0.00053,0.9636
CCOC(=O)CCc1ccccc1,293,1.0147,1.0506,0.00072,0.9788
CCc1ccccc1O,298,1.0146,1.0504,0.00059,0.9477
Cc1cc(C)c2ccccc2c1,293,1.0144,1.0446,0.00046,0.9265
C(=C\c1ccccc1)\c1ccccc1,293,1.0143,1.0762,0.00042,0.9281
COCCC(=O)OC,288,1.0139,1.0191,0.00057,0.9884
C1CS1,293,1.013,1.0108,0.0008,0.8589
COC(=O)C1CC=CCC1,293,1.013,1.0583,0.0007,0.9152
CCCOC(=O)/C=C/C(=O)OCCC,293,1.0129,1.0644,0.00053,0.9376
C=CCN=C=S,293,1.0126,0.9794,0.00089,0.9013
CCCOP(=O)(OCCC)OCCC,293,1.0121,1.0381,0.00091,0.9838
C=CC(=O)OCCOC,293,1.012,1.0471,0.00053,0.9698
CCOC(=O)CC(=O)CC,293,1.012,1.0341,0.0008,0.9655
Cc1ccc2cccc(C)c2c1,293,1.0115,1.0481,0.00042,0.9249
COCCOCCOCCOCCOC,293,1.0114,1.0308,0.00072,0.991
Cc1ccccc1-c1ccccc1,293,1.0113,1.0613,0.00049,0.9314
CCCC(=O)OCc1ccccc1,293,1.0111,1.0486,0.00059,0.9662
CCOC(=O)CCC(C)=O,293,1.0111,1.0386,0.00054,0.9874
C=CC(=O)OCCO,296,1.011,1.1548,0.00052,0.9698
CC(=O)N1CCCCC1,282,1.011,1.0482,0.00055,0.9662
CCC(=O)OC(=O)CC,293,1.011,1.0558,0.00054,0.9771
CNC=O,292,1.011,1.068,0.00035,0.9379
SCCCc1ccccc1,298,1.01,1.0291,0.00073,0.9217
CCOC(=O)c1ccc(N(C)C)cc1,373,1.0099,1.046,0.00078,0.9598
C=CCC(C(=O)OCC)C(=O)OCC,293,1.0098,1.038,0.00079,0.9241
CN1CCC[C@H]1c1cccnc1,293,1.0097,1.0611,0.00035,0.9217
CCC(=O)c1ccccc1,293,1.0096,1.0519,0.00044,0.9865
CCOCCOCCOC(C)=O,293,1.0096,1.0335,0.00051,0.991
N#Cc1ccccc1,288,1.0093,1.0388,0.00054,0.9465
C=CCC(=O)O,293,1.0091,1.0408,0.00087,0.9701
CC(C=O)c1ccccc1,293,1.0089,1.0323,0.00073,0.9364
CCc1cccc2ccccc12,293,1.0082,1.0452,0.00052,0.9057
CCOC(=O)CCCCC(=O)OCC,293,1.0076,1.0341,0.00064,0.9908
COCCOC(C)=O,292,1.0074,1.0321,0.00032,0.993
CC(=O)CCCO,293,1.0071,1.0218,0.00028,0.9922
CCSC#N,296,1.007,0.9603,0.00048,0.9015
c1ccc(CCCc2ccccc2)cc1,293,1.007,1.0172,0.00063,0.9832
CCOC(=O)C(CC)C(=O)OCC,293,1.006,1.0281,0.00076,0.9297
COC1CCC=CO1,298,1.006,1.0218,0.00073,0.8955
O=COC1CCCCC1,273,1.0057,1.033,0.00042,0.9475
CC(O)CCO,293,1.0053,1.0214,0.00031,0.9782
CCOC=Nc1ccccc1,293,1.0051,1.0492,0.00058,0.8662
ClC1CCCC1,293,1.0051,1.0254,0.00067,0.9384
CC(C)CCOC(=O)C(C)Cl,293,1.005,1.0261,0.00047,0.9433
CC1=NCCO1,298,1.005,1.0522,0.00088,0.9154
COCC=O,298,1.005,0.9413,0.00066,0.9502
Cc1ccccc1F,286,1.0041,1.0496,0.00053,0.986
CC(C)(C)C(=O)Cl,293,1.003,1.1018,0.00075,0.8974
CCOC(=O)C#N,298,1.003,1.0613,0.00077,0.9645
O=CCCCCC=O,292,1.003,0.9917,0.00062,0.9665
CC(C)(O)CO,293,1.0024,1.0098,0.00066,0.9851
CCC(O)CO,293,1.0024,1.015,0.00061,0.9789
Cc1ccc2c(C)cccc2c1,293,1.0021,1.0441,0.00064,0.9271
Cc1ccsc1C,293,1.0021,1.0118,0.00058,0.9081
SCCCCS,273,1.0021,1.0601,0.00063,0.9223
CC(C)OC(=O)C(=O)OC(C)C,293,1.002,1.0459,0.00063,0.9746
CCCOC(=O)CCC(=O)OCCC,293,1.002,1.0292,0.00022,0.99
N#CCCc1ccccc1,293,1.0016,1.0356,0.00068,0.9693
CN1C2CCCC1CC(=O)C2,373,1.001,1.0211,0.00102,0.8968
CCCCOC(=O)c1ccccc1,293,1.0,1.0448,0.00053,0.9886
ClC1CCCCC1,293,1.0,1.0187,0.00066,0.9346
CC(c1ccccc1)c1ccccc1,293,0.9997,1.0384,0.00042,0.9348
CCSc1ccc(C)cc1,293,0.9996,1.0239,0.00062,0.9455
CCCSc1ccccc1,293,0.9995,1.0211,0.00045,0.9439
CC(C)COC(=O)Cc1ccccc1,291,0.999,1.0227,0.00071,0.9586
CC(C)COC(=O)c1ccccc1,293,0.999,1.0381,0.00046,0.9784
CCN=C=S,293,0.999,0.9573,0.0004,0.9035
C1CCSC1,293,0.9987,1.0108,0.00039,0.9174
C=Cc1ccccn1,293,0.9983,1.0123,0.00044,0.9109
CC(C)CC(=O)OCc1ccccc1,288,0.9983,1.0264,0.00053,0.9662
C#CCOC(C)=O,293,0.9982,1.0403,0.00053,0.9018
CC(C)OC(=O)C(C)O,293,0.998,1.043,0.00035,0.9524
CCOC(OCC)c1ccco1,293,0.9976,1.04,0.0007,0.9175
Cc1ccc(Cc2ccccc2)cc1,293,0.9976,1.0301,0.0005,0.9527
Cc1ccc(F)cc1,293,0.9975,1.0397,0.00054,0.9976
C1=Cc2ccccc2CC1,293,0.9974,1.0481,0.00052,0.9033
Cc1cccc(F)c1,293,0.9974,1.0345,0.00051,0.9892
COC(CC(OC)OC)OC,298,0.997,0.9924,0.00061,0.947
CC(=O)c1cc(C)ccc1C,292,0.9963,1.0455,0.00057,0.9816
CCC[N+](=O)[O-],298,0.9961,0.9783,0.00061,0.9358
CCOC(=O)C(C(=O)OCC)C(C)C,293,0.9961,1.014,0.00056,0.923
C1=Cc2ccccc2C1,298,0.996,1.0339,0.00054,0.9118
CC(C)CCO[N+](=O)[O-],295,0.996,1.0036,0.00057,0.9635
CCCCOS(=O)OCCCC,293,0.9957,0.9883,0.00053,0.8986
CC(C)c1cccc2ccccc12,293,0.9956,1.0328,0.00041,0.8958
Cc1ccccc1C#N,293,0.9955,1.0288,0.00033,0.9417
COC(=O)C1CCCCC1,288,0.9954,1.015,0.00058,0.9282
CCOC(CCCl)OCC,292,0.9951,1.006,0.00049,0.95
CC(C)C(=O)OCCc1ccccc1,288,0.995,1.033,0.0006,0.9554
CCC(C(C)=O)C(=O)OC,287,0.995,1.0353,0.0006,0.9395
c1ccc(N2CCCCC2)cc1,298,0.9944,1.0483,0.00052,0.9489
Cc1ccc(C(C)C)cc1N,293,0.9942,0.9692,0.00058,0.9536
CCOC(=O)C(C)C(C)=O,293,0.9941,1.0237,0.00062,0.9443
COc1ccccc1,293,0.994,1.0254,0.00077,0.9981
C1=C(c2ccccc2)CCCC1,293,0.9939,1.0261,0.00075,0.8839
Cc1csc(C)c1,293,0.9938,0.9953,0.00084,0.9152
CCSSCC,293,0.9931,1.0086,0.00075,0.9481
CCc1cccs1,293,0.993,1.0094,0.00049,0.909
Cc1cscc1C,298,0.993,1.0102,0.00059,0.9143
CCc1ccc2ccccc2c1,293,0.9922,1.032,0.00067,0.936
CCC(C)C(=O)Cl,293,0.9917,1.1095,0.00078,0.8946
OCCCCCO,293,0.9914,1.0274,0.00037,0.9928
N#CCCCC#N,288,0.9911,1.0423,0.00055,0.9745
CC1COCO1,293,0.99,1.0145,0.00069,0.9562
Cc1cc(C)on1,298,0.99,0.9992,0.00062,0.9125
C=CCC(C(C)=O)C(=O)OCC,293,0.9898,1.0134,0.00072,0.9346
CCCc1cccc2ccccc12,293,0.9897,1.0269,0.00066,0.9001
CCc1cccc(N)c1,298,0.9896,0.9807,0.00048,0.9649
CCOCCCl,293,0.9895,0.9927,0.00036,0.9842
CO/C=C/c1ccccc1,296,0.9894,1.0319,0.00069,0.9312
C=C=CCCl,293,0.9891,0.9947,0.00059,0.8904
CCCC(C(=O)OCC)C(=O)OCC,293,0.989,1.0139,0.00063,0.9259
CCCCOCCOCCOCCO,293,0.989,1.0001,0.00064,0.991
CCOC(=O)CCCC(C)=O,298,0.989,1.0152,0.00077,0.9842
COCC1CO1,293,0.989,1.0198,0.00067,0.884
O=C1C=CCC1,288,0.989,1.0407,0.00082,0.916
SCCCCCCS,298,0.9886,0.9996,0.00065,0.9223
CCOCCOCCO,293,0.9885,0.9967,0.00069,0.991
CC(O)CCCO,293,0.9883,1.0113,0.00047,0.989
CCC(=O)O,298,0.9882,1.0202,0.00024,0.9884
COCCc1ccccn1,293,0.988,1.0309,0.00054,0.9341
CC(O)C#N,293,0.9877,1.0669,0.00041,0.9574
CCC(=O)Cc1ccccc1,293,0.9877,1.0182,0.00025,0.9573
CCCCOC(=O)C(=O)OCCCC,293,0.9873,1.0184,0.00109,0.9888
COCCOCCOCCOCCO,298,0.987,1.0727,0.00051,0.991
CC(C)OP(=O)(OC(C)C)OC(C)C,293,0.9867,1.0198,0.0006,0.9791
CCCCC(=O)c1ccccc1,293,0.986,1.0086,0.00058,0.9855
COCCOCCOCCOC,293,0.986,1.0018,0.00061,0.991
