#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
5750	0.02	0.025532759260202258	3482.7450241160095
5800	0.02	0.028813697995022772	3930.274918424625
5850	0.02	0.025692574057426885	3504.5442422945857
5900	0.02	0.02258936347742621	3081.2570019246273
5950	0.02	0.021644858739697882	2952.423719863154
6000	0.02	0.021403459575959852	2919.496149138558
6050	0.02	0.020313762567537058	2770.8582054207377
6100	0.02	0.02307813208984283	3147.9265081652375
6150	0.02	0.024128147125489264	3291.151711652926
6200	0.02	0.02604048774779031	3552.0007142562235
6250	0.02	0.021984825748080944	2998.7962405430953
6300	0.02	0.023410384384097482	3193.2467186749636
6350	0.02	0.02093341714673162	2855.380950509412
6400	0.02	0.015210022948159825	2074.692797576408
6450	0.02	0.013541805471244665	1847.1429249731125
6500	0.02	0.014919691724103634	2035.0907469079834
6550	0.02	0.01675229740621347	2285.063664268432
6600	0.02	0.015389778744552971	2099.2120279135715
6650	0.02	0.017814517303413196	2429.9536475165664
6700	0.02	0.015719088104665057	2144.130813370217
6750	0.02	0.024701301087291808	3369.3316329132017
6800	0.02	0.02469151836583266	3367.9972403339675
6850	0.02	0.02454790325520032	3348.4077080454513
6900	0.02	0.023529681515554287	3209.5192055902385
6950	0.02	0.01984626168607664	2707.089681538011
7000	0.02	0.014815216620160889	2020.8400290481343
7050	0.02	0.010156951224437686	1385.4386428276357
7100	0.02	0.011403017170815771	1555.405779173647
7150	0.02	0.007497568767181734	1022.6908909751319
7200	0.02	0.0016573965778626395	226.07386948324228
7250	0.02	-0.002354018665325957	-321.0952137914468
7300	0.02	-0.003447603938164458	-470.2635284499178
7350	0.02	-0.0031827218507681993	-434.13281643185945
7400	0.02	-0.0052724853396522164	-719.1828307416904
7450	0.02	-0.006238747606829816	-850.9839051461017
7500	0.02	-0.0035796802706099234	-488.27913674905363
7550	0.02	-0.00133093202918168	-181.5431248472282
7600	0.02	-0.0012721774324012656	-173.52882143820017
7650	0.02	-0.005790773738844849	-789.8789245304546
7700	0.02	-0.0044092348083651315	-601.4328664011039
7750	0.02	-0.009538373528228061	-1301.0627878114026
7800	0.02	-0.012361105960472272	-1686.091966703662
7850	0.02	-0.01758142181217191	-2398.1587226519505
7900	0.02	-0.016763794772496614	-2286.6319395498062
7950	0.02	-0.016613901337266646	-2266.18602493577
8000	0.02	-0.01661115789180939	-2265.8118107383225
8050	0.02	-0.017746250997031233	-2420.641918359384
8100	0.02	-0.018039648946457484	-2460.6622795759968
8150	0.02	-0.014430826787794285	-1968.408101799196
8200	0.02	-0.0176037585261941	-2401.2055175096116
8250	0.02	-0.019548387036157255	-2666.458684933032
8300	0.02	-0.019330868842674407	-2636.78855025284
8350	0.02	-0.017552332388012976	-2394.1908378569115
8400	0.02	-0.01555961588032446	-2122.378323161584
8450	0.02	-0.01601215255392088	-2184.105684162263
8500	0.02	-0.011354201102816252	-1548.7471209303435
8550	0.02	-0.010179287465884578	-1388.4853732246077
8600	0.02	-0.009425259404014313	-1285.6336816482972
8650	0.02	-0.009064967441701113	-1236.4887762274739
8700	0.02	-0.005536003492050792	-755.1274979309079
8750	0.02	-0.007445045456766295	-1015.5265537354588
8800	0.02	-0.004982212104123557	-679.5886898825294
8850	0.02	-0.004134606132679679	-563.9726904766823
8900	0.02	-0.0017333265550193574	-236.4309463439476
8950	0.02	0.0003122512808506375	42.59201222922563
9000	0.02	-0.0008982652825822415	-122.5260815475484
9050	0.02	0.002364557421321606	322.5327317514203
9100	0.02	0.005377681005912384	733.5318354650939
9150	0.02	0.005569344089397397	759.6752555127111
9200	0.02	0.0037910365332475358	517.1087655610189
9250	0.02	0.004018468695429081	548.1311953379819
9300	0.02	0.007551959427946677	1030.1099404091171
9350	0.02	0.004839646199220732	660.1422724057143
9400	0.02	0.008582211108103316	1170.6393628693618
9450	0.02	0.00967517528661355	1319.7229583966478
9500	0.02	0.013127603510530753	1790.6445339079532
9550	0.02	0.016261318620294098	2218.0926837260936
9600	0.02	0.021670528074771923	2955.925094238341
9650	0.02	0.022735406713264402	3101.1777377815642
9700	0.02	0.021699051591470283	2959.815787556643
9750	0.02	0.022333980485088605	3046.4219949931985
9800	0.02	0.024430406818368663	3332.380841283556
9850	0.02	0.027776951264422242	3788.85955158272
9900	0.02	0.031314187356315255	4271.349174917945
9950	0.02	0.0307280255447877	4191.394943899662
10000	0.02	0.03234959428206956	4412.581788356118
10050	0.02	0.030939043599971856	4220.178440199522
10100	0.02	0.03021420163454642	4121.307819808301
10150	0.02	0.0278117872364364	3793.6112827589764
10200	0.02	0.029699633808538923	4051.119223372851
10250	0.02	0.028616284086245503	3903.3470685405355
10300	0.02	0.029101279640503075	3969.5019183198046
10350	0.02	0.02984541713192707	4071.0045063912266
10400	0.02	0.02820323267869374	3847.00561638118
10450	0.02	0.024626945684617072	3359.1893327394314
10500	0.02	0.02249438292331142	3068.301369168293
10550	0.02	0.0243914317944812	3327.0645310044533
10600	0.02	0.024150593490465225	3294.2134632299035
10650	0.02	0.024761434536898493	3377.534015987679
10700	0.02	0.023420181855914105	3194.5831232472433
10750	0.02	0.021527868923539462	2936.4659576821946
10800	0.02	0.02226060134353786	3036.4128597679223
10850	0.02	0.016637892624077773	2269.458508489627
10900	0.02	0.013802058114471761	1882.6421669067877
10950	0.02	0.010101880410967051	1377.9268185224644
11000	0.02	0.0073879955798331	1007.7447792319402
11050	0.02	0.008487686656886845	1157.7459439177883
11100	0.02	0.011143380116555444	1519.9905054233188
11150	0.02	0.010831039667074997	1477.3863303252624
